cell,drive,arc,constr_pin,constr_dir,rel_pin,rel_dir,when_pins,rel_slew_idx,constr_slew_idx,timestamp,dir_name
SDFQSXG0MZD4BWP130HPNPN3P48CPD,D4,hold,SI,rise,CP,rise,D_SE,3,3,Jul 9 2025,hold_SDFQSXG0MZD4BWP130HPNPN3P48CPD_SI_rise_CP_rise_D_SE_3-3
SDFQSXG0MZD4BWP130HPNPN3P48CPD,D4,hold,SI,rise,CP,rise,D_SE,4,2,Jul 9 2025,hold_SDFQSXG0MZD4BWP130HPNPN3P48CPD_SI_rise_CP_rise_D_SE_4-2
SDFQSXG0MZD4BWP130HPNPN3P48CPD,D4,hold,SI,rise,CP,rise,D_SE,5,4,Jul 9 2025,hold_SDFQSXG0MZD4BWP130HPNPN3P48CPD_SI_rise_CP_rise_D_SE_5-4
SDFSRPQSXGMZD1BWP130HPNPN3P48CPD,D1,hold,D,fall,CP,rise,notCD_SDN_notSE_SI,2,4,Jul 9 2025,hold_SDFSRPQSXGMZD1BWP130HPNPN3P48CPD_D_fall_CP_rise_notCD_SDN_notSE_SI_2-4
SDFSRPQSXGMZD1BWP130HPNPN3P48CPD,D1,hold,D,fall,CP,rise,notCD_SDN_notSE_SI,3,3,Jul 9 2025,hold_SDFSRPQSXGMZD1BWP130HPNPN3P48CPD_D_fall_CP_rise_notCD_SDN_notSE_SI_3-3
SDFSRPQSXGMZD1BWP130HPNPN3P48CPD,D1,hold,D,fall,CP,rise,notCD_SDN_notSE_SI,4,2,Jul 9 2025,hold_SDFSRPQSXGMZD1BWP130HPNPN3P48CPD_D_fall_CP_rise_notCD_SDN_notSE_SI_4-2
SDFSRPQSXGMZD1BWP130HPNPN3P48CPD,D1,hold,D,fall,CP,rise,notCD_SDN_notSE_SI,5,4,Jul 9 2025,hold_SDFSRPQSXGMZD1BWP130HPNPN3P48CPD_D_fall_CP_rise_notCD_SDN_notSE_SI_5-4
SDFSRPQSXGMZD1BWP130HPNPN3P48CPD,D1,hold,D,rise,CP,rise,notCD_SDN_notSE_SI,2,4,Jul 9 2025,hold_SDFSRPQSXGMZD1BWP130HPNPN3P48CPD_D_rise_CP_rise_notCD_SDN_notSE_SI_2-4
SDFSRPQSXGMZD1BWP130HPNPN3P48CPD,D1,hold,D,rise,CP,rise,notCD_SDN_notSE_SI,3,3,Jul 9 2025,hold_SDFSRPQSXGMZD1BWP130HPNPN3P48CPD_D_rise_CP_rise_notCD_SDN_notSE_SI_3-3
SDFSRPQSXGMZD1BWP130HPNPN3P48CPD,D1,hold,D,rise,CP,rise,notCD_SDN_notSE_SI,4,2,Jul 9 2025,hold_SDFSRPQSXGMZD1BWP130HPNPN3P48CPD_D_rise_CP_rise_notCD_SDN_notSE_SI_4-2
SDFSRPQSXGMZD1BWP130HPNPN3P48CPD,D1,hold,D,rise,CP,rise,notCD_SDN_notSE_SI,5,4,Jul 9 2025,hold_SDFSRPQSXGMZD1BWP130HPNPN3P48CPD_D_rise_CP_rise_notCD_SDN_notSE_SI_5-4
SDFSRPQSXGMZD1BWP130HPNPN3P48CPD,D1,hold,SE,fall,CP,rise,notCD_D_SDN_notSI,2,4,Jul 9 2025,hold_SDFSRPQSXGMZD1BWP130HPNPN3P48CPD_SE_fall_CP_rise_notCD_D_SDN_notSI_2-4
SDFSRPQSXGMZD1BWP130HPNPN3P48CPD,D1,hold,SE,fall,CP,rise,notCD_D_SDN_notSI,3,3,Jul 9 2025,hold_SDFSRPQSXGMZD1BWP130HPNPN3P48CPD_SE_fall_CP_rise_notCD_D_SDN_notSI_3-3
SDFSRPQSXGMZD1BWP130HPNPN3P48CPD,D1,hold,SE,fall,CP,rise,notCD_D_SDN_notSI,4,2,Apr 8 23:28,hold_SDFSRPQSXGMZD1BWP130HPNPN3P48CPD_SE_fall_CP_rise_notCD_D_SDN_notSI_4-2
SDFSRPQSXGMZD1BWP130HPNPN3P48CPD,D1,hold,SE,fall,CP,rise,notCD_D_SDN_notSI,5,4,Jul 9 2025,hold_SDFSRPQSXGMZD1BWP130HPNPN3P48CPD_SE_fall_CP_rise_notCD_D_SDN_notSI_5-4
SDFSRPQSXGMZD1BWP130HPNPN3P48CPD,D1,hold,SE,rise,CP,rise,notCD_D_SDN_notSI,2,4,Jul 9 2025,hold_SDFSRPQSXGMZD1BWP130HPNPN3P48CPD_SE_rise_CP_rise_notCD_D_SDN_notSI_2-4
SDFSRPQSXGMZD1BWP130HPNPN3P48CPD,D1,hold,SE,rise,CP,rise,notCD_D_SDN_notSI,3,3,Jul 9 2025,hold_SDFSRPQSXGMZD1BWP130HPNPN3P48CPD_SE_rise_CP_rise_notCD_D_SDN_notSI_3-3
SDFSRPQSXGMZD1BWP130HPNPN3P48CPD,D1,hold,SE,rise,CP,rise,notCD_D_SDN_notSI,4,2,Jul 9 2025,hold_SDFSRPQSXGMZD1BWP130HPNPN3P48CPD_SE_rise_CP_rise_notCD_D_SDN_notSI_4-2
SDFSRPQSXGMZD1BWP130HPNPN3P48CPD,D1,hold,SE,rise,CP,rise,notCD_D_SDN_notSI,5,4,Jul 9 2025,hold_SDFSRPQSXGMZD1BWP130HPNPN3P48CPD_SE_rise_CP_rise_notCD_D_SDN_notSI_5-4
SDFSRPQSXGMZD1BWP130HPNPN3P48CPD,D1,hold,SI,fall,CP,rise,notCD_D_SDN_SE,2,4,Jul 9 2025,hold_SDFSRPQSXGMZD1BWP130HPNPN3P48CPD_SI_fall_CP_rise_notCD_D_SDN_SE_2-4
SDFSRPQSXGMZD1BWP130HPNPN3P48CPD,D1,hold,SI,fall,CP,rise,notCD_D_SDN_SE,3,3,Jul 9 2025,hold_SDFSRPQSXGMZD1BWP130HPNPN3P48CPD_SI_fall_CP_rise_notCD_D_SDN_SE_3-3
SDFSRPQSXGMZD1BWP130HPNPN3P48CPD,D1,hold,SI,fall,CP,rise,notCD_D_SDN_SE,4,2,Jul 9 2025,hold_SDFSRPQSXGMZD1BWP130HPNPN3P48CPD_SI_fall_CP_rise_notCD_D_SDN_SE_4-2
SDFSRPQSXGMZD1BWP130HPNPN3P48CPD,D1,hold,SI,fall,CP,rise,notCD_D_SDN_SE,5,4,Jul 9 2025,hold_SDFSRPQSXGMZD1BWP130HPNPN3P48CPD_SI_fall_CP_rise_notCD_D_SDN_SE_5-4
SDFSRPQSXGMZD1BWP130HPNPN3P48CPD,D1,hold,SI,rise,CP,rise,notCD_D_SDN_SE,2,4,Jul 9 2025,hold_SDFSRPQSXGMZD1BWP130HPNPN3P48CPD_SI_rise_CP_rise_notCD_D_SDN_SE_2-4
SDFSRPQSXGMZD1BWP130HPNPN3P48CPD,D1,hold,SI,rise,CP,rise,notCD_D_SDN_SE,3,3,Jul 9 2025,hold_SDFSRPQSXGMZD1BWP130HPNPN3P48CPD_SI_rise_CP_rise_notCD_D_SDN_SE_3-3
SDFSRPQSXGMZD1BWP130HPNPN3P48CPD,D1,hold,SI,rise,CP,rise,notCD_D_SDN_SE,4,2,Jul 9 2025,hold_SDFSRPQSXGMZD1BWP130HPNPN3P48CPD_SI_rise_CP_rise_notCD_D_SDN_SE_4-2
SDFSRPQSXGMZD1BWP130HPNPN3P48CPD,D1,hold,SI,rise,CP,rise,notCD_D_SDN_SE,5,4,Jul 9 2025,hold_SDFSRPQSXGMZD1BWP130HPNPN3P48CPD_SI_rise_CP_rise_notCD_D_SDN_SE_5-4
SDFSRPQSXGMZD4BWP130HPNPN3P48CPD,D4,hold,D,fall,CP,rise,notCD_SDN_notSE_SI,2,4,Jul 9 2025,hold_SDFSRPQSXGMZD4BWP130HPNPN3P48CPD_D_fall_CP_rise_notCD_SDN_notSE_SI_2-4
SDFSRPQSXGMZD4BWP130HPNPN3P48CPD,D4,hold,D,fall,CP,rise,notCD_SDN_notSE_SI,3,3,Jul 9 2025,hold_SDFSRPQSXGMZD4BWP130HPNPN3P48CPD_D_fall_CP_rise_notCD_SDN_notSE_SI_3-3
SDFSRPQSXGMZD4BWP130HPNPN3P48CPD,D4,hold,D,fall,CP,rise,notCD_SDN_notSE_SI,4,2,Jul 9 2025,hold_SDFSRPQSXGMZD4BWP130HPNPN3P48CPD_D_fall_CP_rise_notCD_SDN_notSE_SI_4-2
SDFSRPQSXGMZD4BWP130HPNPN3P48CPD,D4,hold,D,fall,CP,rise,notCD_SDN_notSE_SI,5,4,Jul 9 2025,hold_SDFSRPQSXGMZD4BWP130HPNPN3P48CPD_D_fall_CP_rise_notCD_SDN_notSE_SI_5-4
SDFSRPQSXGMZD4BWP130HPNPN3P48CPD,D4,hold,D,rise,CP,rise,notCD_SDN_notSE_SI,2,4,Jul 9 2025,hold_SDFSRPQSXGMZD4BWP130HPNPN3P48CPD_D_rise_CP_rise_notCD_SDN_notSE_SI_2-4
SDFSRPQSXGMZD4BWP130HPNPN3P48CPD,D4,hold,D,rise,CP,rise,notCD_SDN_notSE_SI,3,3,Jul 9 2025,hold_SDFSRPQSXGMZD4BWP130HPNPN3P48CPD_D_rise_CP_rise_notCD_SDN_notSE_SI_3-3
SDFSRPQSXGMZD4BWP130HPNPN3P48CPD,D4,hold,D,rise,CP,rise,notCD_SDN_notSE_SI,4,2,Jul 9 2025,hold_SDFSRPQSXGMZD4BWP130HPNPN3P48CPD_D_rise_CP_rise_notCD_SDN_notSE_SI_4-2
SDFSRPQSXGMZD4BWP130HPNPN3P48CPD,D4,hold,D,rise,CP,rise,notCD_SDN_notSE_SI,5,4,Jul 9 2025,hold_SDFSRPQSXGMZD4BWP130HPNPN3P48CPD_D_rise_CP_rise_notCD_SDN_notSE_SI_5-4
SDFSRPQSXGMZD4BWP130HPNPN3P48CPD,D4,hold,SE,fall,CP,rise,notCD_D_SDN_notSI,2,4,Jul 9 2025,hold_SDFSRPQSXGMZD4BWP130HPNPN3P48CPD_SE_fall_CP_rise_notCD_D_SDN_notSI_2-4
SDFSRPQSXGMZD4BWP130HPNPN3P48CPD,D4,hold,SE,fall,CP,rise,notCD_D_SDN_notSI,3,3,Jul 9 2025,hold_SDFSRPQSXGMZD4BWP130HPNPN3P48CPD_SE_fall_CP_rise_notCD_D_SDN_notSI_3-3
SDFSRPQSXGMZD4BWP130HPNPN3P48CPD,D4,hold,SE,fall,CP,rise,notCD_D_SDN_notSI,4,2,Jul 9 2025,hold_SDFSRPQSXGMZD4BWP130HPNPN3P48CPD_SE_fall_CP_rise_notCD_D_SDN_notSI_4-2
SDFSRPQSXGMZD4BWP130HPNPN3P48CPD,D4,hold,SE,fall,CP,rise,notCD_D_SDN_notSI,5,4,Jul 9 2025,hold_SDFSRPQSXGMZD4BWP130HPNPN3P48CPD_SE_fall_CP_rise_notCD_D_SDN_notSI_5-4
SDFSRPQSXGMZD4BWP130HPNPN3P48CPD,D4,hold,SE,rise,CP,rise,notCD_D_SDN_notSI,2,4,Jul 9 2025,hold_SDFSRPQSXGMZD4BWP130HPNPN3P48CPD_SE_rise_CP_rise_notCD_D_SDN_notSI_2-4
SDFSRPQSXGMZD4BWP130HPNPN3P48CPD,D4,hold,SE,rise,CP,rise,notCD_D_SDN_notSI,3,3,Jul 9 2025,hold_SDFSRPQSXGMZD4BWP130HPNPN3P48CPD_SE_rise_CP_rise_notCD_D_SDN_notSI_3-3
SDFSRPQSXGMZD4BWP130HPNPN3P48CPD,D4,hold,SE,rise,CP,rise,notCD_D_SDN_notSI,4,2,Jul 9 2025,hold_SDFSRPQSXGMZD4BWP130HPNPN3P48CPD_SE_rise_CP_rise_notCD_D_SDN_notSI_4-2
SDFSRPQSXGMZD4BWP130HPNPN3P48CPD,D4,hold,SE,rise,CP,rise,notCD_D_SDN_notSI,5,4,Jul 9 2025,hold_SDFSRPQSXGMZD4BWP130HPNPN3P48CPD_SE_rise_CP_rise_notCD_D_SDN_notSI_5-4
SDFSRPQSXGMZD4BWP130HPNPN3P48CPD,D4,hold,SI,fall,CP,rise,notCD_D_SDN_SE,2,4,May 13 01:03,hold_SDFSRPQSXGMZD4BWP130HPNPN3P48CPD_SI_fall_CP_rise_notCD_D_SDN_SE_2-4
SDFSRPQSXGMZD4BWP130HPNPN3P48CPD,D4,hold,SI,fall,CP,rise,notCD_D_SDN_SE,3,3,Jul 9 2025,hold_SDFSRPQSXGMZD4BWP130HPNPN3P48CPD_SI_fall_CP_rise_notCD_D_SDN_SE_3-3
SDFSRPQSXGMZD4BWP130HPNPN3P48CPD,D4,hold,SI,fall,CP,rise,notCD_D_SDN_SE,4,2,Jul 9 2025,hold_SDFSRPQSXGMZD4BWP130HPNPN3P48CPD_SI_fall_CP_rise_notCD_D_SDN_SE_4-2
SDFSRPQSXGMZD4BWP130HPNPN3P48CPD,D4,hold,SI,fall,CP,rise,notCD_D_SDN_SE,5,4,Jul 9 2025,hold_SDFSRPQSXGMZD4BWP130HPNPN3P48CPD_SI_fall_CP_rise_notCD_D_SDN_SE_5-4
SDFSRPQSXGMZD4BWP130HPNPN3P48CPD,D4,hold,SI,rise,CP,rise,notCD_D_SDN_SE,2,4,Jul 9 2025,hold_SDFSRPQSXGMZD4BWP130HPNPN3P48CPD_SI_rise_CP_rise_notCD_D_SDN_SE_2-4
SDFSRPQSXGMZD4BWP130HPNPN3P48CPD,D4,hold,SI,rise,CP,rise,notCD_D_SDN_SE,3,3,Jul 9 2025,hold_SDFSRPQSXGMZD4BWP130HPNPN3P48CPD_SI_rise_CP_rise_notCD_D_SDN_SE_3-3
SDFSRPQSXGMZD4BWP130HPNPN3P48CPD,D4,hold,SI,rise,CP,rise,notCD_D_SDN_SE,4,2,Jul 9 2025,hold_SDFSRPQSXGMZD4BWP130HPNPN3P48CPD_SI_rise_CP_rise_notCD_D_SDN_SE_4-2
SDFSRPQSXGMZD4BWP130HPNPN3P48CPD,D4,hold,SI,rise,CP,rise,notCD_D_SDN_SE,5,4,Apr 8 10:37,hold_SDFSRPQSXGMZD4BWP130HPNPN3P48CPD_SI_rise_CP_rise_notCD_D_SDN_SE_5-4
